candidate,office,district,party,county,precinct,votes,vtd
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-2,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-2,283,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-2,48,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-2,39,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-2,298,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-2,298,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-2,40,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-2,288,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-2,50,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 11-2,294,
,Registered Voters,,,Wyandotte,Kansas City 11-3,1003,
,Ballots Cast,,,Wyandotte,Kansas City 11-3,532,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-3,11,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-3,435,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-3,82,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-3,16,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-3,428,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-3,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-3,65,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-3,14,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-3,19,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-3,419,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-3,79,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-3,84,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-3,438,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-3,437,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-3,83,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-3,436,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-3,85,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 11-3,459,
,Registered Voters,,,Wyandotte,Kansas City 11-4,864,
,Ballots Cast,,,Wyandotte,Kansas City 11-4,395,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-4,16,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-4,319,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-4,56,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-4,13,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-4,316,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-4,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-4,54,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-4,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-4,10,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-4,313,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-4,60,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-4,55,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-4,325,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-4,320,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-4,61,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-4,317,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-4,64,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 11-4,332,
,Registered Voters,,,Wyandotte,Kansas City 11-5,1113,
,Ballots Cast,,,Wyandotte,Kansas City 11-5,423,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-5,12,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-5,330,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-5,80,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-5,19,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-5,311,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-5,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-5,75,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-5,11,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-5,16,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-5,300,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-5,94,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-5,93,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-5,321,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-5,319,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-5,93,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-5,316,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-5,93,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 11-5,340,
,Registered Voters,,,Wyandotte,Kansas City 11-6,751,
,Ballots Cast,,,Wyandotte,Kansas City 11-6,380,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-6,6,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-6,328,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-6,41,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-6,13,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-6,310,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-6,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-6,38,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-6,10,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-6,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-6,322,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-6,42,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-6,46,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-6,327,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-6,328,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-6,43,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-6,327,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-6,44,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 11-6,335,
,Registered Voters,,,Wyandotte,Kansas City 11-7,562,
,Ballots Cast,,,Wyandotte,Kansas City 11-7,299,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-7,6,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-7,230,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-7,61,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-7,11,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-7,213,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-7,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-7,58,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-7,14,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-7,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-7,220,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-7,69,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-7,66,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-7,226,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-7,223,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-7,70,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-7,225,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-7,69,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 11-7,246,
,Registered Voters,,,Wyandotte,Kansas City 11-8,1167,
,Ballots Cast,,,Wyandotte,Kansas City 11-8,426,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-8,8,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-8,371,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-8,41,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-8,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-8,367,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-8,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-8,38,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-8,8,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-8,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-8,362,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-8,48,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-8,48,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-8,368,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-8,368,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-8,49,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-8,360,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-8,55,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 11-8,355,
,Registered Voters,,,Wyandotte,Kansas City 11-9,782,
,Ballots Cast,,,Wyandotte,Kansas City 11-9,402,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-9,11,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-9,320,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-9,64,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-9,13,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-9,309,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-9,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-9,61,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-9,9,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-9,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-9,318,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-9,64,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-9,71,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-9,318,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-9,321,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-9,64,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-9,314,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-9,70,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 11-9,59,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 11-9,331,
,Registered Voters,,,Wyandotte,Kansas City 11-10,912,
,Ballots Cast,,,Wyandotte,Kansas City 11-10,519,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-10,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-10,424,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-10,80,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-10,16,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-10,411,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-10,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-10,72,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-10,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-10,10,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-10,411,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-10,90,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-10,95,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-10,415,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-10,423,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-10,81,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-10,421,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-10,89,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 11-10,77,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 11-10,433,
,Registered Voters,,,Wyandotte,Kansas City 11-11,984,
,Ballots Cast,,,Wyandotte,Kansas City 11-11,664,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-11,19,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-11,451,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-11,189,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-11,10,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-11,466,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-11,7,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-11,151,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-11,22,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-11,16,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-11,439,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-11,189,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-11,193,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-11,448,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-11,448,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-11,188,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-11,434,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-11,194,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 11-11,146,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 11-11,505,
,Registered Voters,,,Wyandotte,Kansas City 11-12,202,
,Ballots Cast,,,Wyandotte,Kansas City 11-12,124,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-12,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-12,75,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-12,38,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-12,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-12,73,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-12,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-12,35,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-12,7,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-12,5,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-12,79,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-12,39,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-12,33,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-12,89,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-12,80,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-12,42,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-12,76,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-12,45,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 11-12,32,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 11-12,88,
,Registered Voters,,,Wyandotte,Kansas City 12-1,818,
,Ballots Cast,,,Wyandotte,Kansas City 12-1,417,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-1,8,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-1,304,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-1,103,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-1,10,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-1,289,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-1,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-1,93,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-1,22,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-1,11,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-1,289,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-1,110,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-1,110,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-1,299,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-1,298,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-1,109,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-1,272,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-1,130,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 12-1,323,
,Registered Voters,,,Wyandotte,Kansas City 12-2,545,
,Ballots Cast,,,Wyandotte,Kansas City 12-2,175,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-2,3,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-2,139,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-2,33,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-2,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-2,131,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-2,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-2,30,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-2,6,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-2,11,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-2,126,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-2,35,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-2,36,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-2,133,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-2,129,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-2,43,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-2,128,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-2,40,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 12-2,143,
,Registered Voters,,,Wyandotte,Kansas City 12-3,901,
,Ballots Cast,,,Wyandotte,Kansas City 12-3,436,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-3,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-3,313,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-3,111,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-3,22,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-3,288,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-3,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-3,102,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-3,20,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-3,23,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-3,290,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-3,116,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-3,127,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-3,302,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-3,302,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-3,128,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-3,286,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-3,139,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 12-3,336,
,Registered Voters,,,Wyandotte,Kansas City 12-4,853,
,Ballots Cast,,,Wyandotte,Kansas City 12-4,452,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-4,24,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-4,280,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-4,145,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-4,17,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-4,282,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-4,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-4,122,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-4,27,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-4,25,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-4,252,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-4,165,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-4,165,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-4,274,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-4,277,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-4,158,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-4,266,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-4,164,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 12-4,323,
,Registered Voters,,,Wyandotte,Kansas City 12-5,777,
,Ballots Cast,,,Wyandotte,Kansas City 12-5,418,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-5,19,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-5,205,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-5,190,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-5,13,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-5,191,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-5,8,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-5,173,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-5,27,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-5,17,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-5,188,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-5,196,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-5,201,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-5,202,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-5,195,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-5,204,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-5,195,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-5,202,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 12-5,267,
,Registered Voters,,,Wyandotte,Kansas City 12-6,850,
,Ballots Cast,,,Wyandotte,Kansas City 12-6,409,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-6,21,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-6,216,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-6,169,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-6,16,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-6,214,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-6,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-6,150,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-6,25,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-6,26,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-6,210,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-6,168,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-6,186,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-6,213,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-6,226,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-6,172,
